name,contents,time
2026년도 모두의창업,텍스트,2026년 5월 13일 → 2026년 5월 13일
@2026년 5월 13일 회의,텍스트,2026년 5월 13일 오후 1:00 (GMT+9) → 오후 10:00
2026년 서울시립대학교 캠퍼스타운사업단 혜택 제휴,텍스트,2026년 4월 21일 → 2027년 2월 28일
2026학년도 서울시립대학교 창업활동,텍스트,2026년 3월 1일 → 2027년 2월 28일
@2026년 4월 23일 회의,텍스트,2026년 4월 23일 오후 2:30 (GMT+9) → 오후 5:30
@2026년 4월 12일 회의,텍스트,2026년 4월 12일 오후 9:10 (GMT+9) → 오후 10:24
@2026년 3월 30일 회의,텍스트,2026년 3월 30일 오후 2:00 (GMT+9) → 오후 10:00
2026학년도 서울시립대학교 창업동아리,텍스트,2026년 3월 4일 → 2027년 2월 28일
2026학년도 UOS 창업동아리 OT,텍스트,2026년 4월 3일 오후 4:00 (GMT+9) → 오후 4:30
@2026년 3월 24일 회의,텍스트,2026년 3월 24일 오후 12:15 (GMT+9) → 오후 6:10
@2026년 3월 21일 회의,텍스트,2026년 3월 22일 오후 3:00 (GMT+9) → 오후 11:40
@2026년 3월 20일 회의,텍스트,2026년 3월 20일 오후 2:00 (GMT+9) → 2026년 3월 21일 오전 12:10 (GMT+9)
@2026년 2월 20일 회의,텍스트,2026년 2월 20일 오후 3:45 (GMT+9) → 오후 6:20
업무용 계정 아이디 / 비밀번호,텍스트,
@2026년 1월 29일 회의,텍스트,2026년 1월 29일 오후 9:15 (GMT+9) → 오후 10:25
@2026년 1월 27일 회의,텍스트,2026년 1월 27일
@2026년 3월 11일 → 2026년 3월 12일 회의,텍스트,2026년 3월 11일 → 2026년 3월 12일
@2026년 3월 11일 → 2026년 3월 12일 회의 준비,텍스트,2026년 3월 4일 → 2026년 3월 10일
2026 연희 요가 week,텍스트,
@2026년 2월 19일 회의,텍스트,2026년 2월 19일 오후 1:00 (GMT+9) → 오후 2:50
2026학년도 UOS 창업동아리 참가 신청서 양식,텍스트,2026년 3월 9일
2025학년도 서울시립대학교 창업장학금,텍스트,2026년 1월 24일 → 2026년 1월 28일
2025학년도 서울시립대학교 창업활동,텍스트,2026년 1월 24일 → 2026년 1월 30일
@2026년 2월 13일 회의,텍스트,2026년 2월 13일 오후 2:30 (GMT+9) → 2026년 2월 14일 오전 1:30 (GMT+9)
@2026년 2월 27일 회의,텍스트,2026년 2월 27일 오후 2:00 (GMT+9) → 오후 9:30
@2026년 1월 30일 회의,텍스트,2026년 1월 30일 오후 1:15 (GMT+9) → 오후 11:15
2025학년도 서울시립대학교 학생창업기업 지원금 신청 추가 모집,텍스트,2026년 1월 29일 → 2026년 2월 5일
